trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.992}",20,0,-113.61246187255063,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.984}",25,0,-175.53100982332208,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.976}",25,6,-124.05236065569215,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.968}",25,0,-94.30204958580097,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.96}",25,0,-132.213975228816,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.952}",20,0,-150.87011816224157,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.944}",25,0,-145.3918910749818,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-116.45320162433963,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9279999999999999}",20,0,-27.430858354484986,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-5.624345531981203,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9119999999999999}",20,0,-64.94738532822723,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9039999999999999}",20,0,-116.00162670327794,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8959999999999999}",25,16,-6.904037735145412,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8879999999999999}",20,0,-66.29172517241865,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,1,-119.14265226907057,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.8719999999999999}",35,12,-96.5179217469589,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8639999999999999}",20,0,-93.13905951589628,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8559999999999999}",25,0,-66.41502776441939,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8479999999999999}",30,0,-58.636769112686125,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-82.48059064372019,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8319999999999999}",20,0,-62.94106483882167,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8239999999999998}",30,0,-106.90440158524933,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8159999999999998}",25,0,-142.48827691962472,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8079999999999998}",20,0,-39.5871560377222,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,16,-37.046366499530244,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.7919999999999998}",20,0,-65.94216793786812,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7839999999999998}",20,13,0.6081578186894134,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7759999999999998}",25,0,-165.0252156010124,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7679999999999998}",20,0,-62.76011323762602,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7599999999999998}",30,0,-150.83129286328804,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.7519999999999998}",20,0,-23.326965115565528,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7439999999999998}",20,0,-72.81562039865727,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7359999999999998}",25,0,-21.485031570541082,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7279999999999998}",20,0,-83.18799692158287,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-61.52686561502775,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.7119999999999997}",30,0,-110.12436045254347,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.7039999999999997}",25,13,-82.97925430274303,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
38,False,"{'a': 0.5, 'e': 0.6959999999999997}",25,0,-159.06355322798248,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6879999999999997}",25,3,-139.0805685949491,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,2,36.51112649352404,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6719999999999997}",30,0,-122.16255056267923,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6639999999999997}",30,11,-8.536576126693438,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6559999999999997}",20,5,-10.017127599678425,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6479999999999997}",30,14,-81.41437571101727,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-131.28925654417648,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.6319999999999997}",25,0,-39.62546382314453,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6239999999999997}",20,6,-26.30507860201964,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6159999999999997}",20,0,-36.48880711877172,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6079999999999997}",30,21,2.153081737461485,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,2,-48.94133466138737,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.5919999999999996}",25,11,-55.69420211721582,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5839999999999996}",20,0,-28.987369217418067,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5759999999999996}",20,0,-43.33654773336883,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.5679999999999996}",25,20,10.564042418229956,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-4.042759538714734,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5519999999999996}",20,3,-148.0110866613313,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 4}",1
57,False,"{'a': 0.5, 'e': 0.5439999999999996}",30,15,-133.8827736183034,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 3}",1
58,False,"{'a': 0.5, 'e': 0.5359999999999996}",20,0,-24.22317531598655,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5279999999999996}",20,12,-26.240020164715006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,7,22.337753512434002,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5119999999999996}",25,1,-24.370870134679596,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5039999999999996}",25,0,-71.26597176727842,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.49599999999999955}",25,5,-30.50812971534222,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
